epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,27994.2,0.24385,0.50184,0.88497,0.83047,0.88811,0.91515,0.84562,0.48089,0.76378,0.95258,0.0001222,0.0001222,0.0001222
135,28182.5,0.25086,0.48268,0.89111,0.80856,0.8839,0.9148,0.83817,0.47508,0.74799,0.95013,0.0001156,0.0001156,0.0001156
136,28379.3,0.26143,0.5253,0.89515,0.77497,0.86038,0.91157,0.84249,0.48102,0.78593,0.9634,0.000109,0.000109,0.000109
137,28581.2,0.24775,0.48637,0.90169,0.68356,0.94909,0.91512,0.83669,0.47207,0.82463,0.95601,0.0001024,0.0001024,0.0001024
138,28795.8,0.24481,0.49712,0.89154,0.74686,0.84764,0.90496,0.82559,0.47139,0.82883,0.96572,9.58e-05,9.58e-05,9.58e-05
139,28991.4,0.25243,0.50123,0.88932,0.73121,0.85662,0.90774,0.82906,0.47693,0.85016,0.9614,8.92e-05,8.92e-05,8.92e-05
140,29196.5,0.24311,0.51366,0.89318,0.80582,0.79748,0.90873,0.83559,0.4799,0.86854,0.95719,8.26e-05,8.26e-05,8.26e-05
141,29370.3,0.17651,0.48311,0.9018,0.76684,0.90522,0.92776,0.84678,0.4747,0.82493,0.94312,7.6e-05,7.6e-05,7.6e-05
142,29542.6,0.16208,0.388,0.86972,0.77936,0.90641,0.93198,0.85772,0.47196,0.84449,0.95214,6.94e-05,6.94e-05,6.94e-05
143,29723,0.16548,0.33568,0.86414,0.7884,0.89445,0.89825,0.82718,0.46873,0.88513,0.95784,6.28e-05,6.28e-05,6.28e-05
144,29893.9,0.15511,0.3289,0.85704,0.81936,0.84294,0.88562,0.81209,0.46763,0.92999,0.9653,5.62e-05,5.62e-05,5.62e-05
145,30069.4,0.15791,0.32916,0.86781,0.83351,0.83135,0.87622,0.80621,0.46575,0.93976,0.96264,4.96e-05,4.96e-05,4.96e-05
146,30240.3,0.1602,0.30977,0.8675,0.78207,0.87972,0.86328,0.79516,0.46284,0.92154,0.94768,4.3e-05,4.3e-05,4.3e-05
147,30411,0.14847,0.29277,0.86178,0.81518,0.87823,0.87635,0.80576,0.45925,0.91595,0.93858,3.64e-05,3.64e-05,3.64e-05
148,30580.1,0.15336,0.29259,0.87957,0.85926,0.83966,0.89234,0.81508,0.45986,0.89842,0.93304,2.98e-05,2.98e-05,2.98e-05
149,30811.4,0.15476,0.29544,0.87148,0.89223,0.80225,0.89961,0.82553,0.46538,0.87003,0.94027,2.32e-05,2.32e-05,2.32e-05
150,31007.5,0.15517,0.27813,0.87326,0.8855,0.8076,0.91179,0.83064,0.46741,0.85385,0.9479,1.66e-05,1.66e-05,1.66e-05
